CompoundGroup,ParentCompound_name,CHEBI_key,INCHI_key,CAS_numer,Biomarker_name,Biomarker_abbreviation,Biomarker_varname,BWB = Blood-whole blood (µg/L),BP = Blood-plasma (µg/L),BS = Blood-serum (µg/L),RBC = Red blood cells (µg/L),VAMS = Volumetric absorptive microsample (µg/L),CBWB = Cord blood-whole blood (µg/L),CBP = Cord blood-plasma (µg/L),CBS = Cord blood-serum (µg/L),AF = Amniotic Fluid (µg/L),PLT = Placenta tissue (ng/g),US = Urine- random spot (µg/L),UD = Urine-24h (µg/L),UM = Urine-first morning urine (µg/L),STL = Stool (ng/g),BM = Breast milk (µg/L),SEM = Semen (µg/L),SA = Saliva (µg/L),SPT = Sputum (µg/L),H = Hair (ng/g),TN = Toe nail (ng/g),FN = Finger nail (ng/g),ADI = Adipose Tissue/Fat (µg/L),EBC = Exhaled breath condensate (µg/L),DW = Dermal wipes (µg/cm2),SW = Surface wipe (µg/cm2)
Polycyclic Aromatic Hydrocarbons (PAHs),Phenanthrene,CHEBI:37475,,,"1,2-Dihydrophenanthrene-1,2-diol","1,2-DiPHEdiol",dihphediol,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Phenanthrene,CHEBI:37452,,,"1,2-Dihydroxyphenanthrene","1,2-DHP",onetwohphe,,,,,,,,,,,,,,,,,,,,,,,,,
Flame retardants,"1,2 bis(2,4,6-tribromophenoxy)ethane",,YATIGPZCMOYEGE-UHFFFAOYSA-N,,"1,2 bis(2,4,6-tribromophenoxy)ethane",BTBPE,btbpe,,,,,,,,,,,,,,,,,,,,,,,,,
Flame retardants,Tetrabromoethylcyclohexane,,,,"1,2,2,2-tetrabromoethylcyclohexane","1,2,2,2-TBECH",tbmch,,,,,,,,,,,,,,,,,,,,,,,,,
Dioxins;Organochlorine compounds (OCs),,CHEBI:81505,,35822-46-9,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin","1,2,3,4,6,7,8-HpCDD",hpcdd,,,,,,,,,,,,,,,,,,,,,,,,,
Furans,,CHEBI:81513,,67562-39-4,"1,2,3,4,6,7,8-Heptachlorodibenzofuran","1,2,3,4,6,7,8-HpCDF",pcdf131,,,,,,,,,,,,,,,,,,,,,,,,,
Dioxins;Organochlorine compounds (OCs),,CHEBI:81502,,39227-28-6,"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin","1,2,3,4,7,8-HxCDD",pcdd66,,,,,,,,,,,,,,,,,,,,,,,,,
Furans,,CHEBI:81509,,70648-26-9,"1,2,3,4,7,8-Hexatachlorodibenzofuran","1,2,3,4,7,8-HxCDF",pcdf118,,,,,,,,,,,,,,,,,,,,,,,,,
Furans,,CHEBI: 81514,,,"1,2,3,4,7,8,9-Heptachlorodibenzofuran","1,2,3,4,7,8,9-HpCDF",pcdf134,,,,,,,,,,,,,,,,,,,,,,,,,
Dioxins;Organochlorine compounds (OCs),,CHEBI:81503,,57653-85-7,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin","1,2,3,6,7,8-HxCDD",pcdd67,,,,,,,,,,,,,,,,,,,,,,,,,
